rep_id,name,region,product_line,tenure_months,base_salary,monthly_target,actual_sales,deals_closed,month,year,attainment_pct,commission_rate,commission_earned,is_top_performer,bonus_earned,monthly_base,total_payout,total_compensation,attainment_pct_display,month_name
REP001,Anay Shanker,South,DataSync,67,937330,539239,304700.0,5,1,2024,0.5651,0.05,15235.0,False,0.0,78110.83,93345.83,93345.83,56.5,Jan 2024
REP002,Nirvaan Choudhury,West,DataSync,67,1162942,459637,419100.0,5,1,2024,0.9118,0.1,41910.0,True,20955.0,96911.83,159776.83,159776.83,91.2,Jan 2024
REP003,Sara Behl,West,CloudCore,23,1242077,682789,656000.0,7,1,2024,0.9608,0.1,65600.0,True,32800.0,103506.42,201906.42,201906.42,96.1,Jan 2024
REP004,Kiara Kakar,East,CloudCore,70,1183621,400299,274300.0,7,1,2024,0.6852,0.05,13715.0,False,0.0,98635.08,112350.08,112350.08,68.5,Jan 2024
REP005,Aniruddh Batra,East,CloudCore,5,956170,458650,329800.0,5,1,2024,0.7191,0.05,16490.0,False,0.0,79680.83,96170.83,96170.83,71.9,Jan 2024
REP006,Mehul Krishnan,West,SecureAPI,33,1172451,365184,175100.0,1,1,2024,0.4795,0.0,0.0,False,0.0,97704.25,97704.25,97704.25,47.9,Jan 2024
REP007,Jhanvi Chaudhary,North,SecureAPI,13,1394916,372453,331000.0,7,1,2024,0.8887,0.1,33100.0,False,0.0,116243.0,149343.0,149343.0,88.9,Jan 2024
REP008,Madhup Kapur,East,SecureAPI,11,1127831,549387,327900.0,6,1,2024,0.5968,0.05,16395.0,False,0.0,93985.92,110380.92,110380.92,59.7,Jan 2024
REP009,Zoya Virk,South,DataSync,19,881869,472949,329700.0,5,1,2024,0.6971,0.05,16485.0,False,0.0,73489.08,89974.08,89974.08,69.7,Jan 2024
REP010,Tara Swaminathan,West,CloudCore,24,1426510,538966,426700.0,7,1,2024,0.7917,0.05,21335.0,False,0.0,118875.83,140210.83,140210.83,79.2,Jan 2024
REP011,Rasha Kakar,West,CloudCore,57,1486059,511043,356500.0,5,1,2024,0.6976,0.05,17825.0,False,0.0,123838.25,141663.25,141663.25,69.8,Jan 2024
