rep_id,name,region,product_line,tenure_months,base_salary,monthly_target,actual_sales,deals_closed,month,year
REP001,Anay Shanker,South,DataSync,67,937330,539239,304700.0,5,1,2024
REP002,Nirvaan Choudhury,West,DataSync,67,1162942,459637,419100.0,5,1,2024
REP003,Sara Behl,West,CloudCore,23,1242077,682789,656000.0,7,1,2024
REP004,Kiara Kakar,East,CloudCore,70,1183621,400299,274300.0,7,1,2024
REP005,Aniruddh Batra,East,CloudCore,5,956170,458650,329800.0,5,1,2024
REP006,Mehul Krishnan,West,SecureAPI,33,1172451,365184,175100.0,1,1,2024
REP007,Jhanvi Chaudhary,North,SecureAPI,13,1394916,372453,331000.0,7,1,2024
REP008,Madhup Kapur,East,SecureAPI,11,1127831,549387,327900.0,6,1,2024
REP009,Zoya Virk,South,DataSync,19,881869,472949,329700.0,5,1,2024
REP010,Tara Swaminathan,West,CloudCore,24,1426510,538966,426700.0,7,1,2024
REP011,Rasha Kakar,West,CloudCore,57,1486059,511043,356500.0,5,1,2024
REP012,Ranbir Brahmbhatt,North,DataSync,42,1010922,404593,183100.0,4,1,2024
REP013,Tarini Ganguly,West,DataSync,59,1241559,535828,286800.0,4,1,2024
REP014,Divij Gupta,East,CloudCore,34,763441,517806,291000.0,6,1,2024
REP015,Taimur Vaidya,East,DataSync,32,711028,454256,369200.0,5,1,2024
REP016,Lavanya Deo,East,CloudCore,10,737220,520031,358000.0,4,1,2024
REP017,Samiha Karpe,South,CloudCore,45,782938,437149,374700.0,7,1,2024
REP018,Uthkarsh Baral,North,SecureAPI,65,1092004,406160,312900.0,7,1,2024
REP019,Mishti Ranganathan,North,DataSync,63,1398782,363700,238600.0,4,1,2024
REP020,Kashvi Char,South,SecureAPI,27,1176833,374726,128100.0,4,1,2024
REP021,Azad Sahota,East,SecureAPI,48,925994,461038,466500.0,10,1,2024
REP022,Trisha Dhillon,South,CloudCore,15,806802,431778,310800.0,5,1,2024
REP023,Mehul Verma,East,CloudCore,16,877892,530367,396400.0,6,1,2024
REP024,Vaibhav Dewan,West,CloudCore,60,1412336,473495,393700.0,8,1,2024
REP025,Myra Tiwari,West,SecureAPI,62,1142075,415485,286700.0,3,1,2024
REP026,Ishaan Goyal,North,DataSync,59,879046,511818,266100.0,4,1,2024
REP027,Lakshay Sampath,West,DataSync,15,1427057,313261,116600.0,2,1,2024
REP028,Rati Sanghvi,West,CloudCore,4,1416847,448896,348400.0,5,1,2024
REP029,Mahika Ravi,South,DataSync,24,997861,406539,177500.0,4,1,2024
REP030,Hazel Sethi,South,SecureAPI,54,974130,586569,418600.0,7,1,2024
REP031,Ishaan Kashyap,North,CloudCore,3,1197382,604693,533900.0,9,1,2024
REP032,Purab Reddy,West,SecureAPI,39,1327110,460888,421400.0,7,1,2024
